Title,Link
Открыть счет в Сингапуре,https://habr.com/ru/companies/ybcase/articles/827858/
PHP 8.4: Новые функции поиска в массиве. Пишем с нуля,https://habr.com/ru/articles/827854/
Nvidia выпустила драйвер для старых видеокарт Kepler с поддержкой Windows 7/8/8.1,https://habr.com/ru/news/827844/
"Алгоритмы, вдохновлённые природой. Часть 2",https://habr.com/ru/companies/sberbank/articles/827850/
В Госдуме приготовились к введению штрафов для электросамокатчиков,https://habr.com/ru/news/827848/
Ускоряем JS до предела C,https://habr.com/ru/articles/827846/
"В Affinity предложили пользователям Adobe бесплатную версию Photo, Designer и Publisher на полгода",https://habr.com/ru/news/827842/
Домашний сервер на базе Proxmox,https://habr.com/ru/companies/banki/articles/827760/
Работа с информерами Java kubernetes client,https://habr.com/ru/companies/glowbyte/articles/827794/
Nifi — когда record-oriented не оправдывает себя,https://habr.com/ru/companies/arenadata/articles/827534/
Что ждёт начинающего дизайнера в продуктовой команде,https://habr.com/ru/companies/yandex_praktikum/articles/826016/
"В суде США разваливается коллективный иск «разработчики против Microsoft, GitHub и OpenAI из-за работы GitHub Copilot»",https://habr.com/ru/news/827836/
Где начать свой криптобизнес в СНГ?,https://habr.com/ru/articles/827840/
"В Швеции предложили признать национальным достоянием Europa Universalis, Minecraft, It Takes Two и ещё 12 игр",https://habr.com/ru/news/827838/
Исследовать механизмы иммунитета теперь куда проще,https://habr.com/ru/articles/827834/
5 небанальных проектов на базе одноплатников — от сортировки конфет и счетчика пчел до медицины,https://habr.com/ru/companies/ru_mts/articles/827832/
Терраформирование Марса: мох,https://habr.com/ru/companies/ua-hosting/articles/827348/
Кто и зачем должен платить за развитие IT-специалиста?,https://habr.com/ru/articles/827778/
Владелец комплекта PS5 для разработчиков продал устройство за €6 тысяч как PlayStation Pizza kit,https://habr.com/ru/news/827826/
